Barcode	Total	Primer 1	Primer 2
R05_C12W1_1	0	0	0
R05_C12W1_2	1	1	0
P21502_101_C12W1_1*	0	0	0
P21502_101_C12W1_2	2	1	1
P21502_102_C12W1_1	4	2	2
P21502_102_C12W1_2	0	0	0
P21502_103_C12W1_1	2	1	1
P21502_103_C12W1_2**	169	63	106
P21502_104_C12W1_1	0	0	0
P21502_104_C12W1_2	0	0	0
P21502_105_C12W1_1	0	0	0
P21502_105_C12W1_2	0	0	0
P21502_106_C12W1_1	0	0	0
P21502_106_C12W1_2	7	2	5
P21502_108_C12W1_1*	13	6	7
P21502_108_C12W1_2	0	0	0
P21502_109_C12W1_1	0	0	0
P21502_109_C12W1_2	1	1	0
P21502_111_C12W1_1	0	0	0
P21502_111_C12W1_2	0	0	0
P21502_112_C12W1_1	0	0	0
P21502_112_C12W1_2**	169	63	106
P21502_113_C12W1_1	27	10	17
P21502_113_C12W1_2	0	0	0
P21502_114_C12W1_1	0	0	0
P21502_114_C12W1_2	0	0	0
P21502_116_C12W1_1*	401	157	244
P21502_116_C12W1_2	0	0	0
P21502_117_C12W1_1	0	0	0
P21502_117_C12W1_2	0	0	0
P21502_118_C12W1_1	0	0	0
P21502_118_C12W1_2	1	0	1
P21502_119_C12W1_1	0	0	0
P21502_119_C12W1_2	5	1	4
P21502_119_C12W1_3	0	0	0
P21502_120_C12W1_1	0	0	0
P21502_120_C12W1_2	0	0	0
P21502_121_C12W1_1	1	0	1
P21502_121_C12W1_2**	235	86	149
P21502_122_C12W1_1	0	0	0
P21502_122_C12W1_2	0	0	0
P21502_123_C12W1_1	0	0	0
P21502_123_C12W1_2	2	2	0
P21502_124_C12W1_1	0	0	0
P21502_124_C12W1_2	3	2	1
P21502_125_C12W1_1	0	0	0
P21502_125_C12W1_2	0	0	0
P21502_126_C12W1_1	2	2	0
P21502_126_C12W1_2	0	0	0
P21502_127_C12W1_1*	3541	1553	1988
P21502_127_C12W1_2	0	0	0
P21502_128_C12W1_1	0	0	0
P21502_128_C12W1_2	0	0	0
P21502_107_C12W1_1*	0	0	0
P21502_107_C12W1_2	0	0	0
P21502_110_C12W1_1	0	0	0
P21502_110_C12W1_2**	235	86	149
P21502_129_C12W1_1	465	217	248
P21502_129_C12W1_2	456	199	257
P21502_130_C12W1_1	485	211	274
P21502_130_C12W1_2	85	41	44
P21502_131_C12W1_1	124	54	70
P21502_131_C12W1_2	132	67	65
P21502_132_C12W1_1	750	333	417
P21502_132_C12W1_2	309	126	183
P21502_133_C12W1_1	144	60	84
P21502_133_C12W1_2	127	47	80
P21502_134_C12W1_1	233	113	120
P21502_134_C12W1_2	115	51	64
P21502_135_C12W1_1	734	348	386
P21502_135_C12W1_2	714	312	402
P21502_136_C12W1_1	110	43	67
P21502_136_C12W1_2**	169	63	106
P21502_137_C12W1_1	1090	457	633
P21502_137_C12W1_2	1171	497	674
P21502_138_C12W1_1	324	127	197
P21502_138_C12W1_2	381	180	201
P21502_139_C12W1_1	472	197	275
P21502_139_C12W1_2	388	176	212
P21502_140_C12W1_1	1745	784	961
P21502_140_C12W1_2	1580	666	914
P21502_141_C12W1_1	404	183	221
P21502_141_C12W1_2	598	249	349
P21502_141_C12W1_3	709	298	411
P21502_142_C12W1_1	3877	1750	2127
P21502_142_C12W1_2*	3541	1553	1988
P21502_143_C12W1_1	251	118	133
P21502_143_C12W1_2	290	142	148
P21502_144_C12W1_1	132	60	72
P21502_144_C12W1_2	140	69	71
P21502_145_C12W1_1	310	145	165
P21502_145_C12W1_2*	401	157	244
P21502_146_C12W1_1	161	70	91
P21502_146_C12W1_2	131	53	78
P21502_147_C12W1_1*	13	6	7
P21502_147_C12W1_2	30	18	12
P21502_148_C12W1_1	2302	1017	1285
P21502_148_C12W1_2	1758	738	1020
P21502_149_C12W1_1	112	46	66
P21502_149_C12W1_2	56	19	37
P21502_150_C12W1_1	51	17	34
P21502_150_C12W1_2	162	67	95
P21502_151_C12W1_1	3277	1410	1867
P21502_151_C12W1_2	3253	1402	1851
P21502_152_C12W1_1**	235	86	149
P21502_152_C12W1_2	207	81	126
P21502_153_C12W1_1	0	0	0
P21502_153_C12W1_2	1	1	0
P21502_154_C12W1_1	0	0	0
P21502_154_C12W1_2	10	6	4
P21502_155_C12W1_1	17	5	12
P21502_155_C12W1_2	12	4	8
P21502_156_C12W1_1	714	302	412
P21502_156_C12W1_2	342	158	184
Unknown1_VGx_C12W1_1	663	296	367
Unknown1_VGx_C12W1_2	685	299	386
Unknown1_VGy_C12W1_1	18	5	13
Unknown1_VGy_C12W1_2	66	24	42
