Barcode	Total	Primer 1	Primer 2
R05_C12W1_1	1	0	1
R05_C12W1_2	1	1	0
P21502_101_C12W1_1*	174	79	95
P21502_101_C12W1_2	144	70	74
P21502_102_C12W1_1	95	42	53
P21502_102_C12W1_2	91	30	61
P21502_103_C12W1_1	0	0	0
P21502_103_C12W1_2**	27	13	14
P21502_104_C12W1_1	5	2	3
P21502_104_C12W1_2	4	0	4
P21502_105_C12W1_1	36	15	21
P21502_105_C12W1_2	33	13	20
P21502_106_C12W1_1	8	4	4
P21502_106_C12W1_2	24	12	12
P21502_108_C12W1_1*	11	6	5
P21502_108_C12W1_2	3	3	0
P21502_109_C12W1_1	10	5	5
P21502_109_C12W1_2	11	3	8
P21502_111_C12W1_1	17	8	9
P21502_111_C12W1_2	21	6	15
P21502_112_C12W1_1	15	6	9
P21502_112_C12W1_2**	27	13	14
P21502_113_C12W1_1	155	74	81
P21502_113_C12W1_2	2	1	1
P21502_114_C12W1_1	6	3	3
P21502_114_C12W1_2	3	2	1
P21502_116_C12W1_1*	55	21	34
P21502_116_C12W1_2	0	0	0
P21502_117_C12W1_1	6	2	4
P21502_117_C12W1_2	2	0	2
P21502_118_C12W1_1	64	26	38
P21502_118_C12W1_2	81	28	53
P21502_119_C12W1_1	8	5	3
P21502_119_C12W1_2	6	4	2
P21502_119_C12W1_3	0	0	0
P21502_120_C12W1_1	3	2	1
P21502_120_C12W1_2	0	0	0
P21502_121_C12W1_1	2	0	2
P21502_121_C12W1_2**	532	232	300
P21502_122_C12W1_1	6	1	5
P21502_122_C12W1_2	9	4	5
P21502_123_C12W1_1	10	7	3
P21502_123_C12W1_2	5	4	1
P21502_124_C12W1_1	100	50	50
P21502_124_C12W1_2	23	12	11
P21502_125_C12W1_1	77	35	42
P21502_125_C12W1_2	72	29	43
P21502_126_C12W1_1	14	8	6
P21502_126_C12W1_2	4	0	4
P21502_127_C12W1_1*	9407	3975	5432
P21502_127_C12W1_2	2	0	2
P21502_128_C12W1_1	8	1	7
P21502_128_C12W1_2	7	3	4
P21502_107_C12W1_1*	174	79	95
P21502_107_C12W1_2	62	23	39
P21502_110_C12W1_1	77	36	41
P21502_110_C12W1_2**	532	232	300
P21502_129_C12W1_1	65	28	37
P21502_129_C12W1_2	60	25	35
P21502_130_C12W1_1	203	96	107
P21502_130_C12W1_2	45	18	27
P21502_131_C12W1_1	26	14	12
P21502_131_C12W1_2	27	10	17
P21502_132_C12W1_1	107	46	61
P21502_132_C12W1_2	39	11	28
P21502_133_C12W1_1	29	10	19
P21502_133_C12W1_2	20	9	11
P21502_134_C12W1_1	46	22	24
P21502_134_C12W1_2	14	10	4
P21502_135_C12W1_1	112	45	67
P21502_135_C12W1_2	74	32	42
P21502_136_C12W1_1	19	10	9
P21502_136_C12W1_2**	27	13	14
P21502_137_C12W1_1	197	86	111
P21502_137_C12W1_2	183	62	121
P21502_138_C12W1_1	45	16	29
P21502_138_C12W1_2	45	14	31
P21502_139_C12W1_1	65	33	32
P21502_139_C12W1_2	59	24	35
P21502_140_C12W1_1	477	194	283
P21502_140_C12W1_2	479	206	273
P21502_141_C12W1_1	58	30	28
P21502_141_C12W1_2	80	39	41
P21502_141_C12W1_3	73	28	45
P21502_142_C12W1_1	10993	5109	5884
P21502_142_C12W1_2*	9407	3975	5432
P21502_143_C12W1_1	38	15	23
P21502_143_C12W1_2	40	16	24
P21502_144_C12W1_1	16	6	10
P21502_144_C12W1_2	24	11	13
P21502_145_C12W1_1	49	21	28
P21502_145_C12W1_2*	55	21	34
P21502_146_C12W1_1	43	18	25
P21502_146_C12W1_2	25	8	17
P21502_147_C12W1_1*	11	6	5
P21502_147_C12W1_2	14	5	9
P21502_148_C12W1_1	350	154	196
P21502_148_C12W1_2	229	105	124
P21502_149_C12W1_1	29	6	23
P21502_149_C12W1_2	20	6	14
P21502_150_C12W1_1	17	7	10
P21502_150_C12W1_2	31	19	12
P21502_151_C12W1_1	373	157	216
P21502_151_C12W1_2	439	174	265
P21502_152_C12W1_1**	532	232	300
P21502_152_C12W1_2	347	143	204
P21502_153_C12W1_1	6	0	6
P21502_153_C12W1_2	11	6	5
P21502_154_C12W1_1	6	2	4
P21502_154_C12W1_2	41	22	19
P21502_155_C12W1_1	7	2	5
P21502_155_C12W1_2	3	1	2
P21502_156_C12W1_1	98	51	47
P21502_156_C12W1_2	44	19	25
Unknown1_VGx_C12W1_1	99	41	58
Unknown1_VGx_C12W1_2	90	36	54
Unknown1_VGy_C12W1_1	4	3	1
Unknown1_VGy_C12W1_2	13	4	9
